Memory Length,4000,
Trigger Level,0.000E+00,
Source,CH2,
Probe,1X,
Vertical Units,V,
Vertical Scale,1.000E-02,
Vertical Position,0.000E+00,
Horizontal Units,s,
Horizontal Scale,1.000E-05,
Horizontal Position,4.000E-06,
Horizontal Mode,Main,
Sampling Period,4.000E-08,
Firmware,V1.13,
Time, ,
Mode,Fast,
Waveform Data,
-9,
-9,
45,
46,
46,
46,
47,
47,
46,
45,
42,
42,
40,
37,
34,
31,
28,
25,
20,
16,
12,
8,
4,
0,
-4,
-8,
-12,
-16,
-20,
-22,
-24,
-26,
-26,
-33,
-39,
-36,
-31,
-31,
-34,
-38,
-37,
-33,
-32,
-32,
-32,
-32,
-30,
-28,
-27,
-28,
-27,
-24,
-21,
-27,
-26,
-18,
-16,
-18,
-15,
-14,
-12,
-7,
4,
9,
10,
10,
17,
26,
33,
36,
40,
44,
50,
53,
56,
58,
61,
62,
64,
65,
64,
64,
64,
62,
61,
58,
54,
54,
52,
46,
44,
42,
40,
37,
34,
30,
28,
25,
22,
20,
17,
14,
12,
8,
5,
3,
0,
-1,
-3,
-6,
-9,
-11,
-13,
-14,
-17,
-19,
-19,
-20,
-22,
-24,
-24,
-25,
-26,
-28,
-28,
-29,
-28,
-27,
-28,
-29,
-29,
-28,
-27,
-26,
-24,
-24,
-22,
-22,
-21,
-19,
-19,
-16,
-14,
-12,
-10,
-7,
-6,
-4,
-1,
1,
4,
6,
10,
14,
16,
18,
22,
26,
29,
32,
35,
38,
41,
42,
44,
45,
47,
48,
49,
49,
49,
49,
49,
50,
48,
45,
44,
42,
40,
38,
34,
32,
29,
27,
25,
22,
20,
18,
16,
14,
12,
11,
9,
6,
4,
2,
0,
1,
-3,
-14,
-8,
-6,
-11,
-16,
-17,
-18,
-15,
-16,
-20,
-21,
-22,
-20,
-19,
-20,
-19,
-19,
-16,
-13,
-11,
-10,
-8,
-5,
-4,
-1,
1,
4,
12,
16,
12,
12,
20,
26,
27,
28,
32,
35,
40,
42,
43,
44,
46,
48,
52,
54,
56,
56,
57,
57,
57,
56,
55,
54,
56,
50,
42,
37,
37,
34,
27,
18,
11,
6,
2,
-3,
-10,
-17,
-21,
-25,
-28,
-31,
-34,
-34,
-34,
-34,
-31,
-30,
-27,
-24,
-20,
-17,
-14,
-13,
-10,
1,
10,
8,
6,
9,
16,
20,
21,
20,
18,
21,
21,
21,
20,
18,
16,
17,
16,
14,
12,
11,
10,
8,
5,
4,
2,
1,
0,
-2,
-2,
-2,
-3,
-4,
-6,
-4,
-4,
-4,
-4,
-3,
-2,
-1,
1,
1,
2,
5,
7,
10,
10,
13,
15,
18,
20,
22,
24,
26,
28,
29,
30,
31,
33,
34,
26,
27,
32,
31,
25,
22,
21,
22,
22,
19,
16,
13,
12,
11,
9,
6,
4,
2,
2,
0,
-2,
-3,
-4,
-6,
-8,
-9,
-8,
-8,
-10,
-10,
-8,
-7,
-8,
-7,
-4,
-2,
0,
2,
5,
8,
10,
13,
16,
19,
23,
25,
28,
31,
34,
36,
37,
38,
40,
38,
39,
38,
36,
34,
31,
29,
26,
21,
17,
13,
10,
5,
2,
-3,
-6,
-10,
-13,
-17,
-20,
-22,
-23,
-24,
-26,
-27,
-26,
-26,
-25,
-24,
-22,
-20,
-18,
-16,
-15,
-11,
-8,
-6,
-5,
-3,
0,
1,
3,
4,
6,
9,
9,
12,
13,
13,
14,
14,
17,
17,
17,
16,
16,
17,
16,
16,
16,
16,
16,
16,
17,
17,
18,
19,
21,
21,
22,
22,
24,
25,
26,
26,
26,
27,
29,
32,
26,
21,
24,
28,
27,
22,
20,
20,
20,
20,
17,
16,
17,
16,
8,
12,
13,
10,
7,
6,
5,
7,
6,
3,
1,
0,
-1,
-2,
-1,
2,
0,
-2,
-3,
-2,
-2,
-2,
-1,
0,
1,
2,
2,
4,
5,
8,
10,
14,
14,
16,
19,
20,
22,
25,
26,
28,
28,
28,
28,
29,
30,
28,
26,
25,
25,
24,
21,
18,
17,
16,
14,
12,
10,
8,
7,
5,
4,
2,
2,
0,
0,
-2,
-2,
-3,
-3,
-3,
-3,
-4,
-4,
-4,
-4,
-4,
-5,
-4,
-4,
-4,
-4,
-4,
-4,
-4,
-5,
-4,
-6,
-6,
-6,
-5,
-6,
-7,
-8,
-7,
-6,
-8,
-10,
-8,
-7,
-8,
-6,
-5,
-4,
-3,
-2,
1,
1,
2,
4,
6,
7,
8,
8,
